b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
CRM,1366536,10125,41,,nelda,elbers,111-54-8188,1997-02-02,100 FEDERAL AVE,BOSTON,MASSACHUSETTS,02110,US,nelda@elbers.com,(617) 330-5446
CRM,1368072,10126,42,,sheena,missel,941-75-9295,1979-09-20,789 SHERMAN AVE,DENVER,COLORADO,80203,US,sheena@missel.com,(303) 860-0262
CRM,1368095,10127,43,,edmundo,resides,277-92-3725,1988-10-23,222 W 6TH AVE,JUNCTION CITY,KANSAS,66441,US,edmundo@presidency.com,(785) 762-2986
CRM,1368164,10128,44,,lu,geuder,575-61-4270,1984-07-03,429 THEMIS AVE,CAPE GIRARDEAU,MISSOURI,63701,US,luella@geuder.com,(573) 334-9416
CRM,1369203,10129,45,,lynn,willer,283-53-2401,1983-06-16,343 SANSOME AVE,SAN FRANCISCO,CALIFORNIA,94104,US,lynn@willer.com,(415) 981-1865
CRM,1370624,10130,48,,dan,lamoureux,757-26-6745,1978-12-09,810 W BRIDGE AVE,STREATOR,ILLINOIS,61364,US,daniel@lamoureux.com,(815) 672-0290
CRM,1370933,10131,50,,tina,maschak,283-26-8698,1988-03-12,210 N SAINT CLAIR AVE,DAYTON,OHIO,45402,US,christina@maschak.com,(937) 222-7228
CRM,1372230,10132,52,,jame,okimoto,184-89-1643,1983-10-23,210 S CARANCAHUA AVE,CORPUS CHRISTI,TEXAS,78401,US,jame@okimoto.com,(361) 889-6534
CRM,1372234,10133,54,,russ,schettler,657-18-4621,1981-07-22,689 W MAIN AVE,FREEHOLD,NEW JERSEY,07728,US,russell@schettler.com,(732) 409-1741
CRM,1372351,10134,55,,dan,runions,148-94-3957,1996-12-28,44 SCHOOL AVE,BOSTON,MASSACHUSETTS,02108,US,daniel@runions.com,(617) 367-6047
CRM,1373036,10135,56,,eloisa,resides,647-66-8094,1974-04-05,224 SAINT LOUIS AVE,EDWARDSVILLE,ILLINOIS,62025,US,eloisa@presidency.com,(618) 656-9506
CRM,1373060,10136,57,,hallie,lolli,249-96-8516,1976-12-20,320 NEW BRIDGE AVE,JACKSONVILLE,NORTH CAROLINA,28540,US,hallie@lolli.com,(910) 455-8087
CRM,1376927,10141,65,,lexi,assante,596-32-8212,1990-03-02,484 LINCOLN AVE,MIDDLESEX,NEW JERSEY,08846,US,alexis@assante.com,(732) 563-0191
CRM,1377537,10142,66,,mason,shabazz,333-60-2356,1974-04-19,89 E NATIONWIDE AVE,COLUMBUS,OHIO,43215,US,mason@shabazz.com,(614) 221-4018
CRM,1378963,10143,67,,jonah,bamfield,892-94-4443,1986-08-14,180 N STETSON AVE,CHICAGO,ILLINOIS,60601,US,jonah@bamfield.com,(312) 565-2859
CRM,1379472,10144,68,,ted,hilgeman,272-61-6179,1984-11-10,1 WHITNEY AVE,NEW HAVEN,CONNECTICUT,06510,US,edmund@hilgeman.com,(203) 865-1215
CRM,1380441,10145,71,,barnabas,summerset,275-62-9396,1987-05-24,5242 BOLSA AVE,HUNTINGTON BEACH,CALIFORNIA,92649,US,barney@summerset.com,(714) 897-5451
CRM,1381226,10146,72,,mose,pravata,585-94-2297,1969-02-15,1011 EDGEWATER AVE,RIDGEFIELD,NEW JERSEY,07657,US,mose@pravata.com,(201) 941-5345
CRM,1381797,10147,73,,pearlie,ellerbusch,488-52-2502,1991-05-15,2108 MENAUL BLVD NE,ALBUQUERQUE,NEW MEXICO,87107,US,pearlie@ellerbusch.com,(505) 889-8955
CRM,1381860,10148,75,,roy,semrad,122-52-8422,1969-07-16,6555 CARNEGIE AVE,CLEVELAND,OHIO,44103,US,roy@semrad.com,(216) 361-9627
CRM,1382839,10149,76,,kelly,graniela,434-89-5041,1899-12-31,925 L ST,SACRAMENTO,CALIFORNIA,95814,US,kelly@graniela.com,(916) 442-8885
CRM,1384577,10150,79,,roy,averhart,516-19-2273,1973-02-17,101 S SAN MATEO DR,SAN MATEO,CALIFORNIA,94401,US,roy@averhart.com,(650) 342-2438
CRM,1384862,10151,80,,eloisa,schaedler,829-19-3956,1977-11-17,191 PEACHTREE ST NE,ATLANTA,GEORGIA,30303,US,eloisa@schaedler.com,(404) 818-6870
CRM,1390591,10157,91,,lyle,hilgeman,981-39-4921,1991-03-26,115 N 20TH ST,TAMPA,FLORIDA,33605,US,lyle@hilgeman.com,(813) 248-1861
CRM,1391074,10158,93,,claude,averhart,511-99-9733,1969-02-15,49 S CARROLL ST,FREDERICK,MARYLAND,21701,US,claude@averhart.com,(301) 698-3706
CRM,1391721,10159,94,,alex,anadio,646-53-7605,1992-02-25,1651 W BASELINE RD,TEMPE,ARIZONA,85283,US,alexander@anadio.com,(480) 491-3109
CRM,1391914,10160,96,,thanh,spark,771-74-9982,1991-05-15,1800 IDS CTR,MINNEAPOLIS,MINNESOTA,55402,US,thanh@spark.com,(612) 339-5614
CRM,1392184,10161,97,,clare,poitier,422-95-5398,1969-07-16,28500 GREEN OAK DR,ROSEVILLE,MICHIGAN,48066,US,clair@poitier.com,(586) 296-0808
CRM,1392270,10162,98,,adele,mackson,180-77-9038,1981-01-09,15 PLEASANT AVE E,PARAMUS,NEW JERSEY,07652,US,adelaide@mackson.com,(201) 845-4885
CRM,1392285,10163,99,,quinton,svec,900-15-6539,1987-09-28,160 BELMONT AVE,GARFIELD,NEW JERSEY,07026,US,quinton@svec.com,(973) 772-6233
CRM,1392939,10164,101,,stacy,schettler,749-71-8416,1979-08-01,36 EXTON ST,SOUTH RIVER,NEW JERSEY,08882,US,stacy@schettler.com,(732) 254-0161
CRM,1402251,10170,113,,araceli,creecy,865-81-3669,1899-12-31,3701 34TH ST N,SAINT PETERSBURG,FLORIDA,33713,US,araceli@creecy.com,527-4935
CRM,1403451,10171,115,,chris,ubaldo,766-60-6315,1995-01-26,6840 N CUTTER CIR,PORTLAND,OREGON,97217,US,kris@ubaldo.com,240-0223
CRM,1403605,10172,116,,margarito,winland,735-44-3085,1982-01-05,1856 LOMBARDY DR,RAPID CITY,SOUTH DAKOTA,57701,US,margarito@winland.com,348-4444
CRM,1408293,10173,121,,j,kososky,932-71-1622,1989-06-19,100 WILSHIRE BLVD #-500,SANTA MONICA,CALIFORNIA,90401,US,j@kososky.com,458-6371
CRM,1410025,10175,122,,dell,tarka,771-86-1622,1978-02-24,KINGSBURY SQUA,ZEPHYR COVE,NEVADA,89448,US,adele@tarka.com,588-1343
CRM,1410141,10176,123,,britt,rave,430-89-8443,1979-02-05,2501 WAYZATA BLVD,MINNEAPOLIS,MINNESOTA,55405,US,britt@rave.com,377-6491
CRM,1412102,10177,124,,robbin,durham,624-94-9318,1990-12-27,105 W SUPERIOR ST,DULUTH,MINNESOTA,55802,US,robbin@durham.com,720-7716
CRM,1412528,10178,125,,migdalia,tukuafa,745-90-8900,1979-07-19,215 E HAWAII AVE,NAMPA,IDAHO,83686,US,migdalia@tukuafa.com,465-9237
CRM,1434531,10184,138,,lee,coday,742-10-9107,1982-04-10,27324 CAMINO CAPISTRANO #-153,LAGUNA NIGUEL,CALIFORNIA,92677,US,levi@coday.com,348-4985
CRM,1438474,10185,141,,dianne,kytle,128-67-1571,1981-09-07,3501 W LAKE RD,ABILENE,TEXAS,79601,US,dianne@kytle.com,(325) 672-6016
CRM,1438610,10186,142,,nettie,winland,564-28-5397,1977-10-14,222 N 3RD ST,YAKIMA,WASHINGTON,98901,US,natalie@winland.com,(509) 575-7812
CRM,1439057,10187,143,,zack,lessin,813-19-5008,1990-07-15,44800 INDUSTRIAL DR,FREMONT,CALIFORNIA,94538,US,zack@lessin.com,(510) 657-4870
CRM,1439566,10188,144,,reginald,temores,688-83-4192,1976-12-12,402 BNA DR,NASHVILLE,TENNESSEE,37217,US,reggie@temores.com,(615) 360-5493
CRM,1439594,10189,145,,kathie,kum,850-66-9932,1980-11-05,220 S BRDWAY,ROCHESTER,MINNESOTA,55904,US,kathie@kum.com,(507) 288-4102
MKT,1358864,10197,159,,evan,cacace,645-43-8653,1971-12-12,1400 OLD COUNTRY RD,WESTBURY,NEW YORK,11560,US,evan@cacace.com,(516) 997-9354
MKT,1362223,10198,160,,opal,roecker,860-24-4343,1975-11-14,27 WASHINGTON,WESTBOROUGH,MASSACHUSETTS,01561,US,opal@roecker.com,(508) 870-0435
MKT,1363200,10199,162,,karin,camell,334-52-5340,1975-06-15,CEDAR,MOUNTAIN GROVE,MISSOURI,,US,karin@caress.com,(417) 962-5985
MKT,1364655,10200,166,,jeri,willer,168-69-8233,1985-07-19,1660 S ALBION ST,DENVER,COLORADO,,US,jeri@willer.com,(303) 753-2153
MKT,1364815,10201,167,,chuck,mattos,914-26-2010,1985-09-11,137 FARNSWORTH AVE,BORDENTOWN,NEW JERSEY,,US,charlie@mattos.com,(609) 298-3130
MKT,1366323,10202,168,,ed,markes,110-25-9931,1970-06-11,2444 MADISON RD,CINCINNATI,OHIO,,US,elisa@markes.com,(513) 871-6770
MKT,1367021,10203,169,,nelly,graniela,767-71-2121,1991-03-09,925 L AVE,SACRAMENTO,CALIFORNIA,95814,US,e@graniela.com,91644288
MKT,1367501,10204,171,,shanna,seyfarth,938-22-1997,1970-08-01,631 GROVE AVE,JERSEY CITY,NEW JERSEY,07310,US,shanna@seyfarth.com,(201) 659-6516
MKT,1373514,10208,176,,aida,neundorfer,225-60-6605,1994-05-01,1200 MAIN AVE,KANSAS CITY,MISSOURI,64105,US,aida@neundorfer.com,374-9387
MKT,1373598,10209,177,,bryon,ubaldo,978-35-2165,1994-08-09,411 SW 24TH AVE,SAN ANTONIO,TEXAS,78207,US,bryon@ubaldo.com,(210) 436-9996
MKT,1374096,10210,178,,claudine,hudy,140-13-3280,1988-08-03,1540 S 21ST AVE,COLORADO SPRINGS,COLORADO,80904,US,claudine@hudy.com,(719) 633-3092
MKT,1374829,10211,180,,prince,anadio,148-32-1674,1988-07-18,100 BOXART AVE,ROCHESTER,NEW YORK,14612,US,prince@anadio.com,(585) 663-6442
MKT,1375542,10212,181,,cheri,defiguero,759-96-3334,1973-02-16,2844 FRESNO AVE,FRESNO,CALIFORNIA,93721,US,cheri@defiguero.com,(559) 486-5603
MKT,1375653,10213,182,,lino,maggert,839-80-7032,1978-11-30,6 BEACON AVE,BOSTON,MASSACHUSETTS,02108,US,lino@maggert.com,(617) 227-6545
MKT,1375815,10214,183,,florencio,michna,640-72-2852,1990-05-17,201 S MAIN AVE,SALT LAKE CITY,UTAH,84111,US,florencio@michna.com,(801) 536-1091
MKT,1376216,10215,184,,ashleigh,schiveley,970-35-6296,1997-01-29,111 N 2ND AVE,OLEAN,NEW YORK,14760,US,ashleigh@missel.com,(716) 372-9571
MKT,1378547,10216,187,,tonya,joehnck,764-30-1523,1993-01-21,30 7TH ST E #-510,SAINT PAUL,MINNESOTA,55101,US,tonya@joehnck.com,(651) 298-9175
MKT,1378817,10217,188,,patty,mitchen,326-87-8407,1980-04-19,220 PARK AVE S,SAINT CLOUD,MINNESOTA,56301,US,martha@mitchen.com,(320) 251-3787
MKT,1379537,10218,191,,david,camell,539-13-2039,1989-07-01,4 E 8TH ST #-200,WILMINGTON,DELAWARE,19801,US,dave@caress.com,(302) 655-4884
MKT,1387000,10226,204,,franklin,pappan,271-99-2384,1986-04-08,5 POST OAK PARK,HOUSTON,TEXAS,77027,US,frank@pappan.com,(713) 961-3153
MKT,1387710,10227,206,,sandra,lessin,446-39-1741,1985-01-30,401 B ST,SAN DIEGO,CALIFORNIA,92101,US,alexandria@lessin.com,(619) 687-1471
MKT,1388393,10228,207,,jose,gumm,607-53-1122,1978-12-04,198 S 2ND AVE,PIGGOTT,ARKANSAS,72454,US,jose@gmx.com,(870) 598-1132
MKT,1388559,10229,208,,lana,ramming,157-96-8404,1986-02-17,2930 CAROL RD,YORK,PENNSYLVANIA,17402,US,lana@ramming.com,(717) 840-9610
MKT,1388757,10230,209,,moises,lessin,468-72-8908,1983-12-16,3703 W HIGHWAY 14,OWATONNA,MINNESOTA,55060,US,moises@lessin.com,(507) 451-6685
MKT,1389085,10231,210,,bennie,lessin,558-22-6171,1981-11-17,2821 BRUNDAGE LN,BAKERSFIELD,CALIFORNIA,93304,US,bennie@lessin.com,(661) 324-1207
MKT,1389913,10232,211,,claudine,coday,720-49-9303,1977-06-17,EXIT #-21,STEVENS,PENNSYLVANIA,17578,US,claudine@coday.com,(717) 336-5449
MKT,1392031,10233,212,,t,polacek,797-17-3481,1989-08-05,1100 ALAKEA ST #-12,HONOLULU,HAWAII,96813,US,terri@polacek.com,(808) 237-6644
MKT,1392625,10234,213,,viv,jackowiak,187-99-5325,1899-12-31,1320 HODGES ST,RALEIGH,NORTH CAROLINA,27604,US,vivian@jackowiak.com,(919) 832-9928
MKT,1393026,10235,214,,cari,isaacson,208-61-1729,1976-09-03,820 LESTER AVE,SAINT JOSEPH,MICHIGAN,49085,US,cari@isaacson.com,(269) 983-2318
MKT,1393927,10236,215,,fred,tarka,202-13-7890,1973-02-17,BOX #-34506,HOUSTON,TEXAS,77234,US,willie@tarka.com,(713) 731-5570
MKT,1394793,10237,216,,isiah,durham,258-69-4409,1991-09-04,7427 ARLINGTON RD,BETHESDA,MARYLAND,20814,US,isiah@durham.com,(301) 986-1395
MKT,1398731,10243,223,,marlene,hilgeman,698-71-3263,1982-09-20,300 S 4TH ST #-1700,LAS VEGAS,NEVADA,89101,US,marlene@hilgeman.com,383-2994
MKT,1398789,10244,224,,leopoldo,michna,113-79-2637,1986-10-06,166 BOULDER DR,FITCHBURG,MASSACHUSETTS,01420,US,leopoldo@michna.com,(978) 343-6343
MKT,1399171,10245,226,,francesco,roecker,447-97-5557,1986-02-17,334 US HIGHWAY 46,WAYNE,NEW JERSEY,07470,US,francesco@roecker.com,(973) 890-9344
MKT,1399854,10246,228,,tammi,eilert,747-67-9417,1981-11-17,425 MALUNIU AVE #-B,KAILUA,HAWAII,96734,US,tammi@clerk.com,(808) 263-1923
MKT,1406654,10248,232,,dana,missel,104-80-6362,1987-02-10,2445 M ST NW,WASHINGTON,DC,20037,US,dana@missel.com,663-4512
MKT,1408222,10249,233,,eldon,lolli,526-86-2004,1997-09-27,8350 E MCDONALD DR,SCOTTSDALE,ARIZONA,85250,US,eldon@lolli.com,443-6788
MKT,1409121,10250,234,,nonie,pete,657-75-8228,1979-04-01,313 PRICE PL,MADISON,WISCONSIN,53705,US,nora@pete.com,231-6751
MKT,1410024,10251,236,,homer,southwood,100-74-1322,1995-06-01,1430 N MEACHAM RD,SCHAUMBURG,ILLINOIS,60173,US,homer@southwood.com,884-7511
MKT,1412252,10252,237,,alice,shabazz,556-72-6258,1985-09-12,16 S KETCHAM AVE,AMITYVILLE,NEW YORK,11701,US,alyce@shabazz.com,691-6477
MKT,1413527,10253,239,,daron,seyfarth,953-28-7468,1991-09-25,1211 SW 5TH AVE,PORTLAND,OREGON,97204,US,daron@seyfarth.com,796-4738
MKT,1414505,10254,240,,jarod,mercury,410-80-1433,1995-10-21,5901 N WESTERN AVE,OKLAHOMA CITY,OKLAHOMA,73118,US,jarod@mercury.com,2907
